Entity,Code,Year,Percentage
Argentina,ARG,1987,3.945
Argentina,ARG,1988,-30.958
Argentina,ARG,1989,-13.658
Argentina,ARG,1990,37.437
Argentina,ARG,1991,-9.243
Argentina,ARG,1992,21.815
Argentina,ARG,1993,19.023
Argentina,ARG,1994,18.718
Argentina,ARG,1995,1.714
Argentina,ARG,1996,-7.936
Argentina,ARG,1997,27.309
Argentina,ARG,1998,-1.708
Argentina,ARG,1999,-17.324
Argentina,ARG,2000,27.663
Argentina,ARG,2001,21.707
Argentina,ARG,2002,-1.045
Argentina,ARG,2003,-5.841
Argentina,ARG,2004,-10.027
Argentina,ARG,2005,10.622
Argentina,ARG,2006,11.064
Argentina,ARG,2007,-13.541
Argentina,ARG,2008,-1.741
Argentina,ARG,2009,8.608
Argentina,ARG,2010,4.77
Argentina,ARG,2011,0.233
Argentina,ARG,2012,-3.537
Argentina,ARG,2013,9.303
Argentina,ARG,2014,1.43
Argentina,ARG,2015,2.388
Argentina,ARG,2016,-7.609
Argentina,ARG,2017,9.466
Argentina,ARG,2018,-2.892
Argentina,ARG,2019,-0.326
Argentina,ARG,2020,-10.304
Asia Pacific,,1966,3.944
Asia Pacific,,1967,-5.894
Asia Pacific,,1968,10.069
Asia Pacific,,1969,3.501
Asia Pacific,,1970,3.82
Asia Pacific,,1971,10.165
Asia Pacific,,1972,2.917
Asia Pacific,,1973,-5.343
Asia Pacific,,1974,12.537
Asia Pacific,,1975,6.669
Asia Pacific,,1976,0.316
Asia Pacific,,1977,-2.62
Asia Pacific,,1978,4.486
Asia Pacific,,1979,8.639
Asia Pacific,,1980,6.876
Asia Pacific,,1981,6.525
Asia Pacific,,1982,0.612
Asia Pacific,,1983,6.292
Asia Pacific,,1984,0.548
Asia Pacific,,1985,6.795
Asia Pacific,,1986,2.644
Asia Pacific,,1987,-0.271
Asia Pacific,,1988,10.522
Asia Pacific,,1989,7.436
Asia Pacific,,1990,1.775
Asia Pacific,,1991,2.811
Asia Pacific,,1992,-2.01
Asia Pacific,,1993,9.125
Asia Pacific,,1994,1.46
Asia Pacific,,1995,9.616
Asia Pacific,,1996,-1.857
Asia Pacific,,1997,1.233
Asia Pacific,,1998,6.583
Asia Pacific,,1999,-0.389
Asia Pacific,,2000,4.725
Asia Pacific,,2001,8.183
Asia Pacific,,2002,1.766
Asia Pacific,,2003,2.522
Asia Pacific,,2004,16.568
Asia Pacific,,2005,4.602
Asia Pacific,,2006,10.089
Asia Pacific,,2007,6.618
Asia Pacific,,2008,16.862
Asia Pacific,,2009,-0.515
Asia Pacific,,2010,14.604
Asia Pacific,,2011,4.679
Asia Pacific,,2012,13.626
Asia Pacific,,2013,10.77
Asia Pacific,,2014,12.823
Asia Pacific,,2015,5.251
Asia Pacific,,2016,8.46
Asia Pacific,,2017,9.017
Asia Pacific,,2018,8.928
Asia Pacific,,2019,8.659
Asia Pacific,,2020,7.173
Australia,AUS,1966,-4.467
Australia,AUS,1967,3.496
Australia,AUS,1968,4.264
Australia,AUS,1969,8.899
Australia,AUS,1970,16.359
Australia,AUS,1971,12.834
Australia,AUS,1972,0.534
Australia,AUS,1973,6.681
Australia,AUS,1974,13.301
Australia,AUS,1975,7.508
Australia,AUS,1976,-4.806
Australia,AUS,1977,-4.542
Australia,AUS,1978,7.925
Australia,AUS,1979,-2.761
Australia,AUS,1980,-5.54
Australia,AUS,1981,3.023
Australia,AUS,1982,-6.895
Australia,AUS,1983,-5.507
Australia,AUS,1984,8.063
Australia,AUS,1985,6.115
Australia,AUS,1986,0.62
Australia,AUS,1987,-2.775
Australia,AUS,1988,6.97
Australia,AUS,1989,-0.012
Australia,AUS,1990,3.023
Australia,AUS,1991,5.538
Australia,AUS,1992,1.497
Australia,AUS,1993,2.707
Australia,AUS,1994,-1.196
Australia,AUS,1995,-2.281
Australia,AUS,1996,2.808
Australia,AUS,1997,0.236
Australia,AUS,1998,-0.324
Australia,AUS,1999,3.343
Australia,AUS,2000,1.498
Australia,AUS,2001,-1.909
Australia,AUS,2002,3.299
Australia,AUS,2003,3.165
Australia,AUS,2004,2.703
Australia,AUS,2005,6.341
Australia,AUS,2006,1.932
Australia,AUS,2007,-3.844
Australia,AUS,2008,-5.557
Australia,AUS,2009,4.438
Australia,AUS,2010,10.135
Australia,AUS,2011,36.765
Australia,AUS,2012,-1.799
Australia,AUS,2013,16.809
Australia,AUS,2014,-7.568
Australia,AUS,2015,7.147
Australia,AUS,2016,15.097
Australia,AUS,2017,-6.75
Australia,AUS,2018,24.753
Australia,AUS,2019,11.112
Australia,AUS,2020,15.763
Austria,AUT,1966,7.76
Austria,AUT,1967,2.118
Austria,AUT,1968,2.752
Austria,AUT,1969,-8.067
Austria,AUT,1970,27.346
Austria,AUT,1971,-20.994
Austria,AUT,1972,2.779
Austria,AUT,1973,11.115
Austria,AUT,1974,18.236
Austria,AUT,1975,4.768
Austria,AUT,1976,-13.572
Austria,AUT,1977,21.177
Austria,AUT,1978,0.08
Austria,AUT,1979,12.654
Austria,AUT,1980,3.606
Austria,AUT,1981,5.968
Austria,AUT,1982,0.159
Austria,AUT,1983,-0.939
Austria,AUT,1984,-12.274
Austria,AUT,1985,14.621
Austria,AUT,1986,4.602
Austria,AUT,1987,12.744
Austria,AUT,1988,0.158
Austria,AUT,1989,-0.452
Austria,AUT,1990,-9.696
Austria,AUT,1991,0.063
Austria,AUT,1992,10.739
Austria,AUT,1993,5.233
Austria,AUT,1994,-3.043
Austria,AUT,1995,5.49
Austria,AUT,1996,-7.995
Austria,AUT,1997,5.677
Austria,AUT,1998,3.208
Austria,AUT,1999,8.453
Austria,AUT,2000,2.57
Austria,AUT,2001,-3.213
Austria,AUT,2002,-1.436
Austria,AUT,2003,-16.351
Austria,AUT,2004,11.878
Austria,AUT,2005,2.808
Austria,AUT,2006,1.066
Austria,AUT,2007,5.836
Austria,AUT,2008,3.446
Austria,AUT,2009,5.813
Austria,AUT,2010,-5.116
Austria,AUT,2011,-9.207
Austria,AUT,2012,23.188
Austria,AUT,2013,-2.581
Austria,AUT,2014,-0.454
Austria,AUT,2015,-4.641
Austria,AUT,2016,5.375
Austria,AUT,2017,-0.817
Austria,AUT,2018,-2.242
Austria,AUT,2019,7.901
Austria,AUT,2020,-0.449
Azerbaijan,AZE,1986,-38.721
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,-13.187
Azerbaijan,AZE,1989,0
Azerbaijan,AZE,1990,137.446
Azerbaijan,AZE,1991,6.11
Azerbaijan,AZE,1992,-0.682
Azerbaijan,AZE,1993,38.843
Azerbaijan,AZE,1994,-24.567
Azerbaijan,AZE,1995,-14.973
Azerbaijan,AZE,1996,-1.221
Azerbaijan,AZE,1997,11.386
Azerbaijan,AZE,1998,13.96
Azerbaijan,AZE,1999,-22.809
Azerbaijan,AZE,2000,1.859
Azerbaijan,AZE,2001,-15.74
Azerbaijan,AZE,2002,54.263
Azerbaijan,AZE,2003,21.493
Azerbaijan,AZE,2004,10.828
Azerbaijan,AZE,2005,8.543
Azerbaijan,AZE,2006,-16.855
Azerbaijan,AZE,2007,-6.703
Azerbaijan,AZE,2008,-6.17
Azerbaijan,AZE,2009,2.878
Azerbaijan,AZE,2010,48.265
Azerbaijan,AZE,2011,-22.842
Azerbaijan,AZE,2012,-32.358
Azerbaijan,AZE,2013,-14.974
Azerbaijan,AZE,2014,-11.179
Azerbaijan,AZE,2015,24.093
Azerbaijan,AZE,2016,20.407
Azerbaijan,AZE,2017,-10.687
Azerbaijan,AZE,2018,3.632
Azerbaijan,AZE,2019,-8.391
Azerbaijan,AZE,2020,-28.065
Bangladesh,BGD,1973,89.143
Bangladesh,BGD,1974,-26.586
Bangladesh,BGD,1975,79.424
Bangladesh,BGD,1976,13.303
Bangladesh,BGD,1977,-11.538
Bangladesh,BGD,1978,15.789
Bangladesh,BGD,1979,16.008
Bangladesh,BGD,1980,-0.681
Bangladesh,BGD,1981,7.204
Bangladesh,BGD,1982,-16.32
Bangladesh,BGD,1983,26.577
Bangladesh,BGD,1984,35.498
Bangladesh,BGD,1985,-17.614
Bangladesh,BGD,1986,-39.107
Bangladesh,BGD,1987,14.889
Bangladesh,BGD,1988,30.561
Bangladesh,BGD,1989,36.296
Bangladesh,BGD,1990,-3.913
Bangladesh,BGD,1991,-5.204
Bangladesh,BGD,1992,-5.012
Bangladesh,BGD,1993,-23.618
Bangladesh,BGD,1994,39.309
Bangladesh,BGD,1995,-56.08
Bangladesh,BGD,1996,98.656
Bangladesh,BGD,1997,-2.706
Bangladesh,BGD,1998,20.306
Bangladesh,BGD,1999,-3.699
Bangladesh,BGD,2000,-10.084
Bangladesh,BGD,2001,31.716
Bangladesh,BGD,2002,-25.049
Bangladesh,BGD,2003,-0.535
Bangladesh,BGD,2004,-0.505
Bangladesh,BGD,2005,-0.435
Bangladesh,BGD,2006,-0.153
Bangladesh,BGD,2007,-0.152
Bangladesh,BGD,2008,26.657
Bangladesh,BGD,2009,-53.989
Bangladesh,BGD,2010,73.051
Bangladesh,BGD,2011,19.525
Bangladesh,BGD,2012,-7.119
Bangladesh,BGD,2013,-1.622
Bangladesh,BGD,2014,-14.743
Bangladesh,BGD,2015,47.444
Bangladesh,BGD,2016,0.154
Bangladesh,BGD,2017,15.34
Bangladesh,BGD,2018,-11.553
Bangladesh,BGD,2019,2.394
Bangladesh,BGD,2020,-5.323
Belarus,BLR,1986,0
Belarus,BLR,1987,0
Belarus,BLR,1988,0
Belarus,BLR,1989,0
Belarus,BLR,1990,0
Belarus,BLR,1991,-10
Belarus,BLR,1992,-5.556
Belarus,BLR,1993,11.765
Belarus,BLR,1994,0
Belarus,BLR,1995,5.263
Belarus,BLR,1996,-20
Belarus,BLR,1997,31.25
Belarus,BLR,1998,33.333
Belarus,BLR,1999,-32.143
Belarus,BLR,2000,42.105
Belarus,BLR,2001,10.39
Belarus,BLR,2002,-3.957
Belarus,BLR,2003,-4.067
Belarus,BLR,2004,20.69
Belarus,BLR,2005,8.103
Belarus,BLR,2006,2.044
Belarus,BLR,2007,30.773
Belarus,BLR,2008,45.093
Belarus,BLR,2009,44.309
Belarus,BLR,2010,21.89
Belarus,BLR,2011,7.798
Belarus,BLR,2012,21.95
Belarus,BLR,2013,31.229
Belarus,BLR,2014,-8.169
Belarus,BLR,2015,19.192
Belarus,BLR,2016,31.626
Belarus,BLR,2017,107.133
Belarus,BLR,2018,-7.421
Belarus,BLR,2019,23.543
Belarus,BLR,2020,2.727
Belgium,BEL,1966,9.926
Belgium,BEL,1967,-20.401
Belgium,BEL,1968,2.521
Belgium,BEL,1969,-5.738
Belgium,BEL,1970,6.957
Belgium,BEL,1971,-45.528
Belgium,BEL,1972,34.328
Belgium,BEL,1973,59.444
Belgium,BEL,1974,21.254
Belgium,BEL,1975,-23.563
Belgium,BEL,1976,-37.594
Belgium,BEL,1977,183.735
Belgium,BEL,1978,2.548
Belgium,BEL,1979,13.665
Belgium,BEL,1980,5.282
Belgium,BEL,1981,16.263
Belgium,BEL,1982,-43.601
Belgium,BEL,1983,-5.541
Belgium,BEL,1984,4.749
Belgium,BEL,1985,-9.333
Belgium,BEL,1986,35.882
Belgium,BEL,1987,24.892
Belgium,BEL,1988,-5.199
Belgium,BEL,1989,-8.044
Belgium,BEL,1990,10.338
Belgium,BEL,1991,-3.423
Belgium,BEL,1992,15.112
Belgium,BEL,1993,-17.828
Belgium,BEL,1994,18.343
Belgium,BEL,1995,11.333
Belgium,BEL,1996,-16.018
Belgium,BEL,1997,4.813
Belgium,BEL,1998,29.082
Belgium,BEL,1999,11.989
Belgium,BEL,2000,22.824
Belgium,BEL,2001,2.301
Belgium,BEL,2002,5.177
Belgium,BEL,2003,4.074
Belgium,BEL,2004,24.787
Belgium,BEL,2005,39.791
Belgium,BEL,2006,39.289
Belgium,BEL,2007,17.352
Belgium,BEL,2008,25.948
Belgium,BEL,2009,35.428
Belgium,BEL,2010,33.406
Belgium,BEL,2011,22.443
Belgium,BEL,2012,20.076
Belgium,BEL,2013,9.373
Belgium,BEL,2014,6.331
Belgium,BEL,2015,10.229
Belgium,BEL,2016,3.613
Belgium,BEL,2017,9.666
Belgium,BEL,2018,6.442
Belgium,BEL,2019,11.894
Belgium,BEL,2020,21.67
Brazil,BRA,1966,9.371
Brazil,BRA,1967,4.598
Brazil,BRA,1968,4.663
Brazil,BRA,1969,7.011
Brazil,BRA,1970,23.32
Brazil,BRA,1971,8.723
Brazil,BRA,1972,17.259
Brazil,BRA,1973,14.093
Brazil,BRA,1974,13.341
Brazil,BRA,1975,10.066
Brazil,BRA,1976,14.522
Brazil,BRA,1977,12.915
Brazil,BRA,1978,10.023
Brazil,BRA,1979,13.719
Brazil,BRA,1980,10.44
Brazil,BRA,1981,1.474
Brazil,BRA,1982,8.046
Brazil,BRA,1983,7.78
Brazil,BRA,1984,9.702
Brazil,BRA,1985,7.08
Brazil,BRA,1986,2.299
Brazil,BRA,1987,1.914
Brazil,BRA,1988,7.013
Brazil,BRA,1989,2.796
Brazil,BRA,1990,12.969
Brazil,BRA,1991,5.214
Brazil,BRA,1992,2.402
Brazil,BRA,1993,5.072
Brazil,BRA,1994,3.676
Brazil,BRA,1995,4.477
Brazil,BRA,1996,4.928
Brazil,BRA,1997,4.238
Brazil,BRA,1998,3.835
Brazil,BRA,1999,0.753
Brazil,BRA,2000,2.057
Brazil,BRA,2001,-11.786
Brazil,BRA,2002,6.829
Brazil,BRA,2003,5.576
Brazil,BRA,2004,4.799
Brazil,BRA,2005,4.939
Brazil,BRA,2006,2.233
Brazil,BRA,2007,9.468
Brazil,BRA,2008,1.921
Brazil,BRA,2009,6.104
Brazil,BRA,2010,4.981
Brazil,BRA,2011,3.636
Brazil,BRA,2012,-2.551
Brazil,BRA,2013,-2.142
Brazil,BRA,2014,-0.362
Brazil,BRA,2015,1.79
Brazil,BRA,2016,4.685
Brazil,BRA,2017,0.427
Brazil,BRA,2018,6.993
Brazil,BRA,2019,4.865
Brazil,BRA,2020,-0.05
Bulgaria,BGR,1966,0.5
Bulgaria,BGR,1967,0.597
Bulgaria,BGR,1968,-35.46
Bulgaria,BGR,1969,40.92
Bulgaria,BGR,1970,17.02
Bulgaria,BGR,1971,0.836
Bulgaria,BGR,1972,-3.456
Bulgaria,BGR,1973,22.673
Bulgaria,BGR,1974,-19.066
Bulgaria,BGR,1975,17.933
Bulgaria,BGR,1976,20.424
Bulgaria,BGR,1977,19.465
Bulgaria,BGR,1978,-17.569
Bulgaria,BGR,1979,13.819
Bulgaria,BGR,1980,12.141
Bulgaria,BGR,1981,-2.559
Bulgaria,BGR,1982,-15.699
Bulgaria,BGR,1983,9.934
Bulgaria,BGR,1984,-2.774
Bulgaria,BGR,1985,-31.38
Bulgaria,BGR,1986,3.979
Bulgaria,BGR,1987,9.071
Bulgaria,BGR,1988,2.326
Bulgaria,BGR,1989,3.659
Bulgaria,BGR,1990,-30.212
Bulgaria,BGR,1991,29.979
Bulgaria,BGR,1992,-15.485
Bulgaria,BGR,1993,-5.865
Bulgaria,BGR,1994,-24.408
Bulgaria,BGR,1995,57.629
Bulgaria,BGR,1996,26.145
Bulgaria,BGR,1997,-5.653
Bulgaria,BGR,1998,12.455
Bulgaria,BGR,1999,-11.108
Bulgaria,BGR,2000,-2.906
Bulgaria,BGR,2001,-35.439
Bulgaria,BGR,2002,25.495
Bulgaria,BGR,2003,37.173
Bulgaria,BGR,2004,3.956
Bulgaria,BGR,2005,36.148
Bulgaria,BGR,2006,-2.551
Bulgaria,BGR,2007,-31.828
Bulgaria,BGR,2008,0.774
Bulgaria,BGR,2009,24.748
Bulgaria,BGR,2010,54.72
Bulgaria,BGR,2011,-32.429
Bulgaria,BGR,2012,34.554
Bulgaria,BGR,2013,29.247
Bulgaria,BGR,2014,6.032
Bulgaria,BGR,2015,17.935
Bulgaria,BGR,2016,-19.411
Bulgaria,BGR,2017,-14.234
Bulgaria,BGR,2018,52.413
Bulgaria,BGR,2019,-19.906
Bulgaria,BGR,2020,4.029
CIS,,1966,12.758
CIS,,1967,-3.542
CIS,,1968,17.465
CIS,,1969,10.708
CIS,,1970,7.984
CIS,,1971,1.385
CIS,,1972,-2.538
CIS,,1973,-0.451
CIS,,1974,7.916
CIS,,1975,-4.577
CIS,,1976,7.737
CIS,,1977,8.31
CIS,,1978,15.432
CIS,,1979,1.368
CIS,,1980,6.926
CIS,,1981,1.526
CIS,,1982,-6.462
CIS,,1983,3.255
CIS,,1984,12.545
CIS,,1985,-4.382
CIS,,1986,0.572
CIS,,1987,0.91
CIS,,1988,4.032
CIS,,1989,-2.812
CIS,,1990,6.099
CIS,,1991,0.104
CIS,,1992,2.146
CIS,,1993,3.043
CIS,,1994,1.685
CIS,,1995,-2.658
CIS,,1996,-9.757
CIS,,1997,-0.484
CIS,,1998,0.245
CIS,,1999,2.433
CIS,,2000,2.603
CIS,,2001,3.597
CIS,,2002,-5.178
CIS,,2003,-1.319
CIS,,2004,9.082
CIS,,2005,-1.628
CIS,,2006,-1.274
CIS,,2007,1.782
CIS,,2008,-9.207
CIS,,2009,4.513
CIS,,2010,-1.23
CIS,,2011,-2.474
CIS,,2012,-0.488
CIS,,2013,7.034
CIS,,2014,-4.02
CIS,,2015,-2.991
CIS,,2016,9.233
CIS,,2017,1.493
CIS,,2018,1.052
CIS,,2019,1.88
CIS,,2020,8.112
Canada,CAN,1966,10.934
Canada,CAN,1967,2.232
Canada,CAN,1968,1.699
Canada,CAN,1969,10.601
Canada,CAN,1970,4.978
Canada,CAN,1971,2.734
Canada,CAN,1972,11.805
Canada,CAN,1973,7.165
Canada,CAN,1974,8.226
Canada,CAN,1975,-3.891
Canada,CAN,1976,5.396
Canada,CAN,1977,3.665
Canada,CAN,1978,6.858
Canada,CAN,1979,3.841
Canada,CAN,1980,2.844
Canada,CAN,1981,6.126
Canada,CAN,1982,-2.978
Canada,CAN,1983,3.117
Canada,CAN,1984,7.619
Canada,CAN,1985,5.846
Canada,CAN,1986,2.351
Canada,CAN,1987,1.926
Canada,CAN,1988,-2.699
Canada,CAN,1989,-5.16
Canada,CAN,1990,1.943
Canada,CAN,1991,3.879
Canada,CAN,1992,2.711
Canada,CAN,1993,2.312
Canada,CAN,1994,2.005
Canada,CAN,1995,2.281
Canada,CAN,1996,6.133
Canada,CAN,1997,-1.456
Canada,CAN,1998,-4.635
Canada,CAN,1999,4.191
Canada,CAN,2000,3.349
Canada,CAN,2001,-7.267
Canada,CAN,2002,4.644
Canada,CAN,2003,-4.343
Canada,CAN,2004,0.193
Canada,CAN,2005,6.081
Canada,CAN,2006,-2.857
Canada,CAN,2007,4.134
Canada,CAN,2008,2.05
Canada,CAN,2009,-1.888
Canada,CAN,2010,-3.979
Canada,CAN,2011,6.957
Canada,CAN,2012,1.539
Canada,CAN,2013,2.288
Canada,CAN,2014,-2.455
Canada,CAN,2015,2.829
Canada,CAN,2016,1.596
Canada,CAN,2017,0.76
Canada,CAN,2018,-1.141
Canada,CAN,2019,-1.713
Canada,CAN,2020,1.403
Chile,CHL,1966,5.412
Chile,CHL,1967,2.087
Chile,CHL,1968,-16.216
Chile,CHL,1969,12.875
Chile,CHL,1970,7.033
Chile,CHL,1971,13.188
Chile,CHL,1972,18.708
Chile,CHL,1973,-2.436
Chile,CHL,1974,13.532
Chile,CHL,1975,0.452
Chile,CHL,1976,3.619
Chile,CHL,1977,5.65
Chile,CHL,1978,4.157
Chile,CHL,1979,2.724
Chile,CHL,1980,5.754
Chile,CHL,1981,3.561
Chile,CHL,1982,9.576
Chile,CHL,1983,8.507
Chile,CHL,1984,3.615
Chile,CHL,1985,10.702
Chile,CHL,1986,7.501
Chile,CHL,1987,8.126
Chile,CHL,1988,-1.596
Chile,CHL,1989,-15.685
Chile,CHL,1990,-8.833
Chile,CHL,1991,43.054
Chile,CHL,1992,30.451
Chile,CHL,1993,2.62
Chile,CHL,1994,-1.033
Chile,CHL,1995,8.104
Chile,CHL,1996,-8.285
Chile,CHL,1997,11.147
Chile,CHL,1998,-17.344
Chile,CHL,1999,-12.114
Chile,CHL,2000,36.128
Chile,CHL,2001,13.503
Chile,CHL,2002,6.178
Chile,CHL,2003,-3.306
Chile,CHL,2004,-5.95
Chile,CHL,2005,18.23
Chile,CHL,2006,7.65
Chile,CHL,2007,-16.078
Chile,CHL,2008,10.691
Chile,CHL,2009,2.082
Chile,CHL,2010,-11.55
Chile,CHL,2011,-1.917
Chile,CHL,2012,4.892
Chile,CHL,2013,2.396
Chile,CHL,2014,8.783
Chile,CHL,2015,8.455
Chile,CHL,2016,-4.388
Chile,CHL,2017,14.859
Chile,CHL,2018,12.93
Chile,CHL,2019,1.931
Chile,CHL,2020,4.484
China,CHN,1966,1.76
China,CHN,1967,-13.797
China,CHN,1968,17.989
China,CHN,1969,1.7
China,CHN,1970,3.344
China,CHN,1971,20.96
China,CHN,1972,13.33
China,CHN,1973,11.762
China,CHN,1974,13.165
China,CHN,1975,4.645
China,CHN,1976,1.338
China,CHN,1977,4.39
China,CHN,1978,-6.303
China,CHN,1979,12.33
China,CHN,1980,19.905
China,CHN,1981,12.525
China,CHN,1982,13.586
China,CHN,1983,16.13
China,CHN,1984,0.46
China,CHN,1985,6.419
China,CHN,1986,2.339
China,CHN,1987,5.791
China,CHN,1988,9.142
China,CHN,1989,8.465
China,CHN,1990,7.097
China,CHN,1991,-1.615
China,CHN,1992,4.945
China,CHN,1993,16.226
China,CHN,1994,10.579
China,CHN,1995,15.415
China,CHN,1996,-2.374
China,CHN,1997,4.908
China,CHN,1998,1.422
China,CHN,1999,-1.065
China,CHN,2000,13.011
China,CHN,2001,23.653
China,CHN,2002,3.349
China,CHN,2003,-1.669
China,CHN,2004,23.641
China,CHN,2005,12.588
China,CHN,2006,10.044
China,CHN,2007,11.352
China,CHN,2008,31.961
China,CHN,2009,-0.535
China,CHN,2010,17.431
China,CHN,2011,0.249
China,CHN,2012,25.295
China,CHN,2013,8.858
China,CHN,2014,17.212
China,CHN,2015,7.088
China,CHN,2016,8.567
China,CHN,2017,8.719
China,CHN,2018,9.574
China,CHN,2019,9.388
China,CHN,2020,7.949
Colombia,COL,1966,11.097
Colombia,COL,1967,11.481
Colombia,COL,1968,11.432
Colombia,COL,1969,11.183
Colombia,COL,1970,11.305
Colombia,COL,1971,6.124
Colombia,COL,1972,10.767
Colombia,COL,1973,8.831
Colombia,COL,1974,13.543
Colombia,COL,1975,12.844
Colombia,COL,1976,5.111
Colombia,COL,1977,2.065
Colombia,COL,1978,15.348
Colombia,COL,1979,9.757
Colombia,COL,1980,8.896
Colombia,COL,1981,-1.34
Colombia,COL,1982,6.853
Colombia,COL,1983,0.842
Colombia,COL,1984,11.509
Colombia,COL,1985,7.545
Colombia,COL,1986,15.454
Colombia,COL,1987,8.874
Colombia,COL,1988,5.434
Colombia,COL,1989,9.126
Colombia,COL,1990,2.638
Colombia,COL,1991,0.811
Colombia,COL,1992,-19.198
Colombia,COL,1993,24.866
Colombia,COL,1994,15.071
Colombia,COL,1995,-0.111
Colombia,COL,1996,10.217
Colombia,COL,1997,-10.689
Colombia,COL,1998,-2.018
Colombia,COL,1999,9.082
Colombia,COL,2000,-8.326
Colombia,COL,2001,1.945
Colombia,COL,2002,6.567
Colombia,COL,2003,5.742
Colombia,COL,2004,5.267
Colombia,COL,2005,1.897
Colombia,COL,2006,8.929
Colombia,COL,2007,3.392
Colombia,COL,2008,4.315
Colombia,COL,2009,-9.473
Colombia,COL,2010,0.868
Colombia,COL,2011,18.558
Colombia,COL,2012,-1.72
Colombia,COL,2013,-6.893
Colombia,COL,2014,1.231
Colombia,COL,2015,-0.133
Colombia,COL,2016,3.751
Colombia,COL,2017,19.835
Colombia,COL,2018,-0.632
Colombia,COL,2019,-3.558
Colombia,COL,2020,-17.679
Croatia,HRV,1991,54.56
Croatia,HRV,1992,-25.948
Croatia,HRV,1993,4.914
Croatia,HRV,1994,19.085
Croatia,HRV,1995,4.54
