Entity,Code,Year,Renewables
Argentina,ARG,1973,4.096
Argentina,ARG,1974,5.653
Argentina,ARG,1975,0.494
Argentina,ARG,1976,-0.535
Argentina,ARG,1977,2.102
Argentina,ARG,1978,5.517
Argentina,ARG,1979,8.162
Argentina,ARG,1980,12.461
Argentina,ARG,1981,-1.307
Argentina,ARG,1982,8.137
Argentina,ARG,1983,2.409
Argentina,ARG,1984,3.947
Argentina,ARG,1985,2.144
Argentina,ARG,1986,1.019
Argentina,ARG,1987,2.314
Argentina,ARG,1988,-18.875
Argentina,ARG,1989,-5.749
Argentina,ARG,1990,13.607
Argentina,ARG,1991,-4.617
Argentina,ARG,1992,9.89
Argentina,ARG,1993,10.506
Argentina,ARG,1994,12.303
Argentina,ARG,1995,1.338
Argentina,ARG,1996,-6.299
Argentina,ARG,1997,19.956
Argentina,ARG,1998,-1.589
Argentina,ARG,1999,-15.841
Argentina,ARG,2000,20.912
Argentina,ARG,2001,20.949
Argentina,ARG,2002,-1.227
Argentina,ARG,2003,-6.789
Argentina,ARG,2004,-10.974
Argentina,ARG,2005,10.46
Argentina,ARG,2006,12.052
Argentina,ARG,2007,-16.382
Argentina,ARG,2008,-1.821
Argentina,ARG,2009,8.847
Argentina,ARG,2010,5.325
Argentina,ARG,2011,0.273
Argentina,ARG,2012,-4.147
Argentina,ARG,2013,10.519
Argentina,ARG,2014,1.767
Argentina,ARG,2015,2.994
Argentina,ARG,2016,-9.767
Argentina,ARG,2017,11.225
Argentina,ARG,2018,-3.754
Argentina,ARG,2019,-0.411
Argentina,ARG,2020,-12.946
Asia Pacific,,1966,17.281
Asia Pacific,,1967,-26.845
Asia Pacific,,1968,43.154
Asia Pacific,,1969,16.516
Asia Pacific,,1970,18.653
Asia Pacific,,1971,51.528
Asia Pacific,,1972,16.291
Asia Pacific,,1973,-30.708
Asia Pacific,,1974,68.206
Asia Pacific,,1975,40.827
Asia Pacific,,1976,2.061
Asia Pacific,,1977,-17.166
Asia Pacific,,1978,28.62
Asia Pacific,,1979,57.586
Asia Pacific,,1980,49.794
Asia Pacific,,1981,50.503
Asia Pacific,,1982,5.048
Asia Pacific,,1983,52.195
Asia Pacific,,1984,4.832
Asia Pacific,,1985,60.242
Asia Pacific,,1986,25.036
Asia Pacific,,1987,-2.633
Asia Pacific,,1988,101.978
Asia Pacific,,1989,79.65
Asia Pacific,,1990,20.431
Asia Pacific,,1991,32.922
Asia Pacific,,1992,-24.208
Asia Pacific,,1993,107.67
Asia Pacific,,1994,18.794
Asia Pacific,,1995,125.619
Asia Pacific,,1996,-26.594
Asia Pacific,,1997,17.33
Asia Pacific,,1998,93.653
Asia Pacific,,1999,-5.898
Asia Pacific,,2000,71.367
Asia Pacific,,2001,129.453
Asia Pacific,,2002,30.224
Asia Pacific,,2003,43.925
Asia Pacific,,2004,295.827
Asia Pacific,,2005,95.773
Asia Pacific,,2006,219.651
Asia Pacific,,2007,158.625
Asia Pacific,,2008,430.888
Asia Pacific,,2009,-15.392
Asia Pacific,,2010,433.866
Asia Pacific,,2011,159.29
Asia Pacific,,2012,485.633
Asia Pacific,,2013,436.162
Asia Pacific,,2014,575.235
Asia Pacific,,2015,265.752
Asia Pacific,,2016,450.645
Asia Pacific,,2017,520.958
Asia Pacific,,2018,562.345
Asia Pacific,,2019,594.1
Asia Pacific,,2020,534.743
Australia,AUS,1966,-0.991
Australia,AUS,1967,0.741
Australia,AUS,1968,0.935
Australia,AUS,1969,2.035
Australia,AUS,1970,4.074
Australia,AUS,1971,3.719
Australia,AUS,1972,0.175
Australia,AUS,1973,2.196
Australia,AUS,1974,4.664
Australia,AUS,1975,2.983
Australia,AUS,1976,-2.053
Australia,AUS,1977,-1.847
Australia,AUS,1978,3.076
Australia,AUS,1979,-1.156
Australia,AUS,1980,-2.257
Australia,AUS,1981,1.163
Australia,AUS,1982,-2.733
Australia,AUS,1983,-2.032
Australia,AUS,1984,2.812
Australia,AUS,1985,2.304
Australia,AUS,1986,0.248
Australia,AUS,1987,-1.117
Australia,AUS,1988,2.727
Australia,AUS,1989,-0.005
Australia,AUS,1990,1.265
Australia,AUS,1991,2.387
Australia,AUS,1992,0.681
Australia,AUS,1993,1.25
Australia,AUS,1994,-0.567
Australia,AUS,1995,-1.069
Australia,AUS,1996,1.286
Australia,AUS,1997,0.111
Australia,AUS,1998,-0.153
Australia,AUS,1999,1.572
Australia,AUS,2000,0.728
Australia,AUS,2001,-0.942
Australia,AUS,2002,1.596
Australia,AUS,2003,1.582
Australia,AUS,2004,1.394
Australia,AUS,2005,3.358
Australia,AUS,2006,1.088
Australia,AUS,2007,-2.207
Australia,AUS,2008,-3.068
Australia,AUS,2009,2.314
Australia,AUS,2010,5.519
Australia,AUS,2011,22.048
Australia,AUS,2012,-1.476
Australia,AUS,2013,13.538
Australia,AUS,2014,-7.12
Australia,AUS,2015,6.215
Australia,AUS,2016,14.067
Australia,AUS,2017,-7.239
Australia,AUS,2018,24.754
Australia,AUS,2019,13.863
Australia,AUS,2020,21.851
Austria,AUT,1966,3.467
Austria,AUT,1967,1.019
Austria,AUT,1968,1.353
Austria,AUT,1969,-4.075
Austria,AUT,1970,12.699
Austria,AUT,1971,-12.416
Austria,AUT,1972,1.299
Austria,AUT,1973,5.338
Austria,AUT,1974,9.731
Austria,AUT,1975,3.008
Austria,AUT,1976,-8.971
Austria,AUT,1977,12.098
Austria,AUT,1978,0.056
Austria,AUT,1979,8.767
Austria,AUT,1980,2.814
Austria,AUT,1981,4.826
Austria,AUT,1982,0.136
Austria,AUT,1983,-0.806
Austria,AUT,1984,-10.435
Austria,AUT,1985,10.904
Austria,AUT,1986,3.934
Austria,AUT,1987,11.396
Austria,AUT,1988,0.159
Austria,AUT,1989,-0.456
Austria,AUT,1990,-9.747
Austria,AUT,1991,0.057
Austria,AUT,1992,9.754
Austria,AUT,1993,5.264
Austria,AUT,1994,-3.221
Austria,AUT,1995,5.634
Austria,AUT,1996,-8.655
Austria,AUT,1997,5.655
Austria,AUT,1998,3.377
Austria,AUT,1999,9.183
Austria,AUT,2000,3.028
Austria,AUT,2001,-3.883
Austria,AUT,2002,-1.68
Austria,AUT,2003,-18.85
Austria,AUT,2004,11.455
Austria,AUT,2005,3.03
Austria,AUT,2006,1.183
Austria,AUT,2007,6.543
Austria,AUT,2008,4.089
Austria,AUT,2009,7.135
Austria,AUT,2010,-6.644
Austria,AUT,2011,-11.345
Austria,AUT,2012,25.943
Austria,AUT,2013,-3.557
Austria,AUT,2014,-0.61
Austria,AUT,2015,-6.202
Austria,AUT,2016,6.851
Austria,AUT,2017,-1.098
Austria,AUT,2018,-2.986
Austria,AUT,2019,10.289
Austria,AUT,2020,-0.632
Azerbaijan,AZE,1986,-1.412
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,-0.295
Azerbaijan,AZE,1989,0
Azerbaijan,AZE,1990,2.666
Azerbaijan,AZE,1991,0.281
Azerbaijan,AZE,1992,-0.033
Azerbaijan,AZE,1993,1.885
Azerbaijan,AZE,1994,-1.656
Azerbaijan,AZE,1995,-0.761
Azerbaijan,AZE,1996,-0.053
Azerbaijan,AZE,1997,0.486
Azerbaijan,AZE,1998,0.664
Azerbaijan,AZE,1999,-1.236
Azerbaijan,AZE,2000,0.078
Azerbaijan,AZE,2001,-0.671
Azerbaijan,AZE,2002,1.948
Azerbaijan,AZE,2003,1.19
Azerbaijan,AZE,2004,0.729
Azerbaijan,AZE,2005,0.637
Azerbaijan,AZE,2006,-1.364
Azerbaijan,AZE,2007,-0.451
Azerbaijan,AZE,2008,-0.387
Azerbaijan,AZE,2009,0.17
Azerbaijan,AZE,2010,2.926
Azerbaijan,AZE,2011,-2.053
Azerbaijan,AZE,2012,-2.244
Azerbaijan,AZE,2013,-0.702
Azerbaijan,AZE,2014,-0.446
Azerbaijan,AZE,2015,0.853
Azerbaijan,AZE,2016,0.897
Azerbaijan,AZE,2017,-0.566
Azerbaijan,AZE,2018,0.172
Azerbaijan,AZE,2019,-0.411
Azerbaijan,AZE,2020,-1.26
Bangladesh,BGD,1972,0.486
Bangladesh,BGD,1973,0.433
Bangladesh,BGD,1974,-0.244
Bangladesh,BGD,1975,0.536
Bangladesh,BGD,1976,0.161
Bangladesh,BGD,1977,-0.158
Bangladesh,BGD,1978,0.192
Bangladesh,BGD,1979,0.225
Bangladesh,BGD,1980,-0.011
Bangladesh,BGD,1981,0.117
Bangladesh,BGD,1982,-0.283
Bangladesh,BGD,1983,0.386
Bangladesh,BGD,1984,0.653
Bangladesh,BGD,1985,-0.439
Bangladesh,BGD,1986,-0.803
Bangladesh,BGD,1987,0.186
Bangladesh,BGD,1988,0.439
Bangladesh,BGD,1989,0.681
Bangladesh,BGD,1990,-0.1
Bangladesh,BGD,1991,-0.128
Bangladesh,BGD,1992,-0.117
Bangladesh,BGD,1993,-0.522
Bangladesh,BGD,1994,0.664
Bangladesh,BGD,1995,-1.319
Bangladesh,BGD,1996,1.019
Bangladesh,BGD,1997,-0.056
Bangladesh,BGD,1998,0.406
Bangladesh,BGD,1999,-0.089
Bangladesh,BGD,2000,-0.233
Bangladesh,BGD,2001,0.66
Bangladesh,BGD,2002,-0.686
Bangladesh,BGD,2003,-0.011
Bangladesh,BGD,2004,-0.01
Bangladesh,BGD,2005,-0.009
Bangladesh,BGD,2006,-0.003
Bangladesh,BGD,2007,-0.003
Bangladesh,BGD,2008,0.538
Bangladesh,BGD,2009,-1.38
Bangladesh,BGD,2010,0.859
Bangladesh,BGD,2011,0.397
Bangladesh,BGD,2012,-0.173
Bangladesh,BGD,2013,-0.037
Bangladesh,BGD,2014,-0.328
Bangladesh,BGD,2015,0.899
Bangladesh,BGD,2016,0.004
Bangladesh,BGD,2017,0.429
Bangladesh,BGD,2018,-0.373
Bangladesh,BGD,2019,0.068
Bangladesh,BGD,2020,-0.156
Belarus,BLR,1986,0
Belarus,BLR,1987,0
Belarus,BLR,1988,0
Belarus,BLR,1989,0
Belarus,BLR,1990,0
Belarus,BLR,1991,-0.006
Belarus,BLR,1992,-0.003
Belarus,BLR,1993,0.006
Belarus,BLR,1994,0
Belarus,BLR,1995,0.003
Belarus,BLR,1996,-0.011
Belarus,BLR,1997,0.014
Belarus,BLR,1998,0.019
Belarus,BLR,1999,-0.025
Belarus,BLR,2000,0.022
Belarus,BLR,2001,0.008
Belarus,BLR,2002,-0.003
Belarus,BLR,2003,-0.003
Belarus,BLR,2004,0.016
Belarus,BLR,2005,0.007
Belarus,BLR,2006,0.002
Belarus,BLR,2007,0.031
Belarus,BLR,2008,0.06
Belarus,BLR,2009,0.085
Belarus,BLR,2010,0.061
Belarus,BLR,2011,0.026
Belarus,BLR,2012,0.08
Belarus,BLR,2013,0.139
Belarus,BLR,2014,-0.048
Belarus,BLR,2015,0.103
Belarus,BLR,2016,0.202
Belarus,BLR,2017,0.903
Belarus,BLR,2018,-0.13
Belarus,BLR,2019,0.38
Belarus,BLR,2020,0.054
Belgium,BEL,1966,0.075
Belgium,BEL,1967,-0.169
Belgium,BEL,1968,0.017
Belgium,BEL,1969,-0.039
Belgium,BEL,1970,0.044
Belgium,BEL,1971,-0.311
Belgium,BEL,1972,0.128
Belgium,BEL,1973,0.297
Belgium,BEL,1974,0.169
Belgium,BEL,1975,-0.228
Belgium,BEL,1976,-0.278
Belgium,BEL,1977,0.847
Belgium,BEL,1978,0.033
Belgium,BEL,1979,0.183
Belgium,BEL,1980,0.081
Belgium,BEL,1981,0.261
Belgium,BEL,1982,-0.814
Belgium,BEL,1983,-0.058
Belgium,BEL,1984,0.047
Belgium,BEL,1985,-0.097
Belgium,BEL,1986,0.339
Belgium,BEL,1987,0.319
Belgium,BEL,1988,-0.083
Belgium,BEL,1989,-0.122
Belgium,BEL,1990,0.144
Belgium,BEL,1991,-0.053
Belgium,BEL,1992,0.225
Belgium,BEL,1993,-0.306
Belgium,BEL,1994,0.258
Belgium,BEL,1995,0.189
Belgium,BEL,1996,-0.297
Belgium,BEL,1997,0.075
Belgium,BEL,1998,0.475
Belgium,BEL,1999,0.253
Belgium,BEL,2000,0.539
Belgium,BEL,2001,0.067
Belgium,BEL,2002,0.154
Belgium,BEL,2003,0.127
Belgium,BEL,2004,0.805
Belgium,BEL,2005,1.612
Belgium,BEL,2006,2.226
Belgium,BEL,2007,1.369
Belgium,BEL,2008,2.403
Belgium,BEL,2009,4.132
Belgium,BEL,2010,5.276
Belgium,BEL,2011,4.729
Belgium,BEL,2012,5.179
Belgium,BEL,2013,2.904
Belgium,BEL,2014,2.145
Belgium,BEL,2015,3.685
Belgium,BEL,2016,1.435
Belgium,BEL,2017,3.977
Belgium,BEL,2018,2.907
Belgium,BEL,2019,5.713
Belgium,BEL,2020,11.646
Brazil,BRA,1966,6.642
Brazil,BRA,1967,3.564
Brazil,BRA,1968,3.781
Brazil,BRA,1969,5.95
Brazil,BRA,1970,21.177
Brazil,BRA,1971,9.769
Brazil,BRA,1972,21.014
Brazil,BRA,1973,20.12
Brazil,BRA,1974,21.732
Brazil,BRA,1975,18.583
Brazil,BRA,1976,29.509
Brazil,BRA,1977,30.054
Brazil,BRA,1978,26.336
Brazil,BRA,1979,39.661
Brazil,BRA,1980,34.324
Brazil,BRA,1981,5.35
Brazil,BRA,1982,29.644
Brazil,BRA,1983,30.969
Brazil,BRA,1984,41.626
Brazil,BRA,1985,33.326
Brazil,BRA,1986,11.586
Brazil,BRA,1987,9.869
Brazil,BRA,1988,36.853
Brazil,BRA,1989,15.723
Brazil,BRA,1990,74.966
Brazil,BRA,1991,34.047
Brazil,BRA,1992,16.504
Brazil,BRA,1993,35.687
Brazil,BRA,1994,27.171
Brazil,BRA,1995,34.312
Brazil,BRA,1996,39.461
Brazil,BRA,1997,35.609
Brazil,BRA,1998,33.588
Brazil,BRA,1999,6.845
Brazil,BRA,2000,18.85
Brazil,BRA,2001,-110.212
Brazil,BRA,2002,56.328
Brazil,BRA,2003,49.133
Brazil,BRA,2004,44.647
Brazil,BRA,2005,48.158
Brazil,BRA,2006,22.849
Brazil,BRA,2007,99.036
Brazil,BRA,2008,21.992
Brazil,BRA,2009,71.239
Brazil,BRA,2010,61.672
Brazil,BRA,2011,47.266
Brazil,BRA,2012,-34.371
Brazil,BRA,2013,-28.126
Brazil,BRA,2014,-4.648
Brazil,BRA,2015,22.919
Brazil,BRA,2016,61.044
Brazil,BRA,2017,5.826
Brazil,BRA,2018,95.785
Brazil,BRA,2019,71.307
Brazil,BRA,2020,-0.77
Bulgaria,BGR,1966,0.028
Bulgaria,BGR,1967,0.033
Bulgaria,BGR,1968,-1.992
Bulgaria,BGR,1969,1.483
Bulgaria,BGR,1970,0.869
Bulgaria,BGR,1971,0.05
Bulgaria,BGR,1972,-0.208
Bulgaria,BGR,1973,1.319
Bulgaria,BGR,1974,-1.361
Bulgaria,BGR,1975,1.036
Bulgaria,BGR,1976,1.392
Bulgaria,BGR,1977,1.597
Bulgaria,BGR,1978,-1.722
Bulgaria,BGR,1979,1.117
Bulgaria,BGR,1980,1.117
Bulgaria,BGR,1981,-0.264
Bulgaria,BGR,1982,-1.578
Bulgaria,BGR,1983,0.842
Bulgaria,BGR,1984,-0.258
Bulgaria,BGR,1985,-2.842
Bulgaria,BGR,1986,0.247
Bulgaria,BGR,1987,0.586
Bulgaria,BGR,1988,0.164
Bulgaria,BGR,1989,0.264
Bulgaria,BGR,1990,-2.258
Bulgaria,BGR,1991,1.564
Bulgaria,BGR,1992,-1.05
Bulgaria,BGR,1993,-0.336
Bulgaria,BGR,1994,-1.317
Bulgaria,BGR,1995,2.35
Bulgaria,BGR,1996,1.681
Bulgaria,BGR,1997,-0.458
Bulgaria,BGR,1998,0.953
Bulgaria,BGR,1999,-0.956
Bulgaria,BGR,2000,-0.222
Bulgaria,BGR,2001,-2.631
Bulgaria,BGR,2002,1.222
Bulgaria,BGR,2003,2.236
Bulgaria,BGR,2004,0.326
Bulgaria,BGR,2005,3.101
Bulgaria,BGR,2006,-0.298
Bulgaria,BGR,2007,-3.623
Bulgaria,BGR,2008,0.06
Bulgaria,BGR,2009,1.935
Bulgaria,BGR,2010,5.337
Bulgaria,BGR,2011,-4.894
Bulgaria,BGR,2012,3.524
Bulgaria,BGR,2013,4.013
Bulgaria,BGR,2014,1.07
Bulgaria,BGR,2015,3.373
Bulgaria,BGR,2016,-4.305
Bulgaria,BGR,2017,-2.544
Bulgaria,BGR,2018,8.034
Bulgaria,BGR,2019,-4.65
Bulgaria,BGR,2020,0.754
CIS,,1966,28.858
CIS,,1967,-9.033
CIS,,1968,42.969
CIS,,1969,30.947
CIS,,1970,25.544
CIS,,1971,4.783
CIS,,1972,-8.889
CIS,,1973,-1.539
CIS,,1974,26.903
CIS,,1975,-16.786
CIS,,1976,27.078
CIS,,1977,31.331
CIS,,1978,63.019
CIS,,1979,6.45
CIS,,1980,33.097
CIS,,1981,7.794
CIS,,1982,-33.519
CIS,,1983,15.792
CIS,,1984,62.85
CIS,,1985,-24.711
CIS,,1986,3.081
CIS,,1987,4.935
CIS,,1988,22.06
CIS,,1989,-16.008
CIS,,1990,33.741
CIS,,1991,0.61
CIS,,1992,12.612
CIS,,1993,18.265
CIS,,1994,10.422
CIS,,1995,-16.713
CIS,,1996,-59.726
CIS,,1997,-2.672
CIS,,1998,1.347
CIS,,1999,13.406
CIS,,2000,14.692
CIS,,2001,20.835
CIS,,2002,-31.072
CIS,,2003,-7.503
CIS,,2004,50.99
CIS,,2005,-9.968
CIS,,2006,-7.673
CIS,,2007,10.601
CIS,,2008,-55.738
CIS,,2009,24.807
CIS,,2010,-7.067
CIS,,2011,-14.036
CIS,,2012,-2.702
CIS,,2013,38.735
CIS,,2014,-23.692
CIS,,2015,-16.918
CIS,,2016,50.67
CIS,,2017,8.95
CIS,,2018,6.399
CIS,,2019,11.561
CIS,,2020,50.809
Canada,CAN,1966,35.867
Canada,CAN,1967,8.122
Canada,CAN,1968,6.322
Canada,CAN,1969,40.106
Canada,CAN,1970,20.831
Canada,CAN,1971,12.011
Canada,CAN,1972,53.272
Canada,CAN,1973,36.153
Canada,CAN,1974,44.481
Canada,CAN,1975,-22.769
Canada,CAN,1976,30.35
Canada,CAN,1977,21.722
Canada,CAN,1978,42.139
Canada,CAN,1979,25.222
Canada,CAN,1980,19.394
Canada,CAN,1981,42.958
Canada,CAN,1982,-22.164
Canada,CAN,1983,22.508
Canada,CAN,1984,56.731
Canada,CAN,1985,46.842
Canada,CAN,1986,19.939
Canada,CAN,1987,16.717
Canada,CAN,1988,-23.883
Canada,CAN,1989,-44.426
Canada,CAN,1990,15.865
Canada,CAN,1991,32.285
Canada,CAN,1992,23.441
Canada,CAN,1993,20.531
Canada,CAN,1994,18.216
Canada,CAN,1995,21.141
Canada,CAN,1996,58.133
Canada,CAN,1997,-14.644
Canada,CAN,1998,-45.952
Canada,CAN,1999,39.622
Canada,CAN,2000,32.991
Canada,CAN,2001,-73.986
Canada,CAN,2002,43.841
Canada,CAN,2003,-42.908
Canada,CAN,2004,1.826
Canada,CAN,2005,57.583
Canada,CAN,2006,-28.699
Canada,CAN,2007,40.334
Canada,CAN,2008,20.831
Canada,CAN,2009,-19.582
Canada,CAN,2010,-40.479
Canada,CAN,2011,67.957
Canada,CAN,2012,16.084
Canada,CAN,2013,24.275
Canada,CAN,2014,-26.645
Canada,CAN,2015,29.942
Canada,CAN,2016,17.369
Canada,CAN,2017,8.408
Canada,CAN,2018,-12.708
Canada,CAN,2019,-18.864
Canada,CAN,2020,15.19
Chile,CHL,1966,0.594
Chile,CHL,1967,0.242
Chile,CHL,1968,-1.917
Chile,CHL,1969,1.275
Chile,CHL,1970,0.786
Chile,CHL,1971,1.578
Chile,CHL,1972,2.533
Chile,CHL,1973,-0.392
Chile,CHL,1974,2.122
Chile,CHL,1975,0.081
Chile,CHL,1976,0.647
Chile,CHL,1977,1.047
Chile,CHL,1978,0.814
Chile,CHL,1979,0.556
Chile,CHL,1980,1.206
Chile,CHL,1981,0.789
Chile,CHL,1982,2.197
Chile,CHL,1983,2.139
Chile,CHL,1984,0.986
Chile,CHL,1985,3.025
Chile,CHL,1986,2.347
Chile,CHL,1987,2.733
Chile,CHL,1988,-0.581
Chile,CHL,1989,-5.614
Chile,CHL,1990,-2.665
Chile,CHL,1991,11.845
Chile,CHL,1992,11.985
Chile,CHL,1993,1.345
Chile,CHL,1994,-0.544
Chile,CHL,1995,4.226
Chile,CHL,1996,-4.67
Chile,CHL,1997,5.763
Chile,CHL,1998,-9.966
Chile,CHL,1999,-5.753
Chile,CHL,2000,15.081
Chile,CHL,2001,7.673
Chile,CHL,2002,3.985
Chile,CHL,2003,-2.264
Chile,CHL,2004,-3.94
Chile,CHL,2005,11.353
Chile,CHL,2006,5.633
Chile,CHL,2007,-12.743
Chile,CHL,2008,7.111
Chile,CHL,2009,1.533
Chile,CHL,2010,-8.681
Chile,CHL,2011,-1.274
Chile,CHL,2012,3.19
Chile,CHL,2013,1.639
Chile,CHL,2014,6.151
Chile,CHL,2015,6.442
Chile,CHL,2016,-3.626
Chile,CHL,2017,11.739
Chile,CHL,2018,11.732
Chile,CHL,2019,1.979
Chile,CHL,2020,4.683
China,CHN,1966,1.08
China,CHN,1967,-8.618
China,CHN,1968,9.686
China,CHN,1969,1.08
China,CHN,1970,2.161
China,CHN,1971,13.995
China,CHN,1972,10.766
China,CHN,1973,10.766
China,CHN,1974,13.467
China,CHN,1975,5.377
China,CHN,1976,1.62
China,CHN,1977,5.389
China,CHN,1978,-8.078
China,CHN,1979,14.805
China,CHN,1980,26.848
China,CHN,1981,20.256
China,CHN,1982,24.724
China,CHN,1983,33.342
China,CHN,1984,1.105
China,CHN,1985,15.48
China,CHN,1986,6.003
China,CHN,1987,15.21
China,CHN,1988,25.399
China,CHN,1989,25.669
China,CHN,1990,23.342
China,CHN,1991,-5.689
China,CHN,1992,17.137
China,CHN,1993,59.016
China,CHN,1994,44.718
China,CHN,1995,72.054
China,CHN,1996,-12.809
China,CHN,1997,25.847
China,CHN,1998,7.857
China,CHN,1999,-5.969
China,CHN,2000,72.134
China,CHN,2001,148.201
China,CHN,2002,25.95
China,CHN,2003,-13.366
China,CHN,2004,186.134
China,CHN,2005,122.542
China,CHN,2006,110.082
China,CHN,2007,136.92
China,CHN,2008,429.237
China,CHN,2009,-9.475
China,CHN,2010,307.277
China,CHN,2011,5.153
China,CHN,2012,524.929
China,CHN,2013,230.312
China,CHN,2014,487.181
China,CHN,2015,235.15
China,CHN,2016,304.36
China,CHN,2017,336.294
China,CHN,2018,401.491
China,CHN,2019,431.384
China,CHN,2020,399.519
Colombia,COL,1966,1.092
Colombia,COL,1967,1.256
Colombia,COL,1968,1.394
Colombia,COL,1969,1.519
Colombia,COL,1970,1.708
Colombia,COL,1971,1.03
Colombia,COL,1972,1.921
Colombia,COL,1973,1.745
Colombia,COL,1974,2.913
Colombia,COL,1975,3.137
Colombia,COL,1976,1.409
Colombia,COL,1977,0.598
Colombia,COL,1978,4.538
Colombia,COL,1979,3.327
Colombia,COL,1980,3.33
Colombia,COL,1981,-0.546
Colombia,COL,1982,2.756
Colombia,COL,1983,0.362
Colombia,COL,1984,4.987
Colombia,COL,1985,3.646
Colombia,COL,1986,8.031
Colombia,COL,1987,5.324
Colombia,COL,1988,3.55
Colombia,COL,1989,6.285
Colombia,COL,1990,1.983
Colombia,COL,1991,0.626
Colombia,COL,1992,-14.929
Colombia,COL,1993,15.624
Colombia,COL,1994,11.825
Colombia,COL,1995,-0.1
Colombia,COL,1996,9.215
Colombia,COL,1997,-10.625
Colombia,COL,1998,-1.792
Colombia,COL,1999,7.9
Colombia,COL,2000,-7.9
Colombia,COL,2001,1.692
Colombia,COL,2002,5.823
Colombia,COL,2003,5.426
Colombia,COL,2004,5.263
Colombia,COL,2005,1.996
Colombia,COL,2006,9.57
Colombia,COL,2007,3.96
Colombia,COL,2008,5.209
Colombia,COL,2009,-11.929
Colombia,COL,2010,0.99
Colombia,COL,2011,21.338
Colombia,COL,2012,-2.345
Colombia,COL,2013,-9.235
Colombia,COL,2014,1.535
Colombia,COL,2015,-0.168
Colombia,COL,2016,4.73
Colombia,COL,2017,25.952
Colombia,COL,2018,-0.992
Colombia,COL,2019,-5.544
Colombia,COL,2020,-26.564
Croatia,HRV,1991,5.767
Croatia,HRV,1992,-4.239
Croatia,HRV,1993,0.594
Croatia,HRV,1994,2.422
